Ob,Project,Algorithm,Cost Error
180,6,ESTIMALS,199
181,1,SLM,1244
182,2,SLM,21
183,3,SLM,82
184,4,SLM,2221
185,5,SLM,905
186,6,SLM,839
187,1,COCOMO-A,281
188,2,COCOMO-A,129
189,3,COCOMO-A,396
190,4,COCOMO-A,1306
191,5,COCOMO-A,336
192,6,COCOMO-A,910
193,1,COCOMO-R,220
194,2,COCOMO-R,84
195,3,COCOMO-R,458
196,4,COCOMO-R,543
197,5,COCOMO-R,300
198,6,COCOMO-R,794
199,1,COCOMO-C,225
200,2,COCOMO-C,83
201,3,COCOMO-C,425
202,4,COCOMO-C,552
203,5,COCOMO-C,291
204,6,COCOMO-C,826
205,1,FUNCTION POINTS,19
206,2,FUNCTION POINTS,11
207,3,FUNCTION POINTS,-34
208,4,FUNCTION POINTS,121
209,5,FUNCTION POINTS,15
210,6,FUNCTION POINTS,103
211,1,ESTIMALS,-20
212,2,ESTIMALS,35
213,3,ESTIMALS,-53
214,4,ESTIMALS,170
215,5,ESTIMALS,104
216,6,ESTIMALS,199
